instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|45569,45569,NIFTY2631025500CE,NIFTY,2.05,2026-03-10,25500.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45576,45576,NIFTY2631025550PE,NIFTY,1521.55,2026-03-10,25550.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45570,45570,NIFTY2631025500PE,NIFTY,1451.9,2026-03-10,25500.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45571,45571,NIFTY2631025550CE,NIFTY,2.0,2026-03-10,25550.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45559,45559,NIFTY2631025300CE,NIFTY,3.25,2026-03-10,25300.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45556,45556,NIFTY2631025200PE,NIFTY,1159.65,2026-03-10,25200.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45557,45557,NIFTY2631025250CE,NIFTY,3.65,2026-03-10,25250.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45558,45558,NIFTY2631025250PE,NIFTY,1199.4,2026-03-10,25250.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45562,45562,NIFTY2631025350PE,NIFTY,1316.45,2026-03-10,25350.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45563,45563,NIFTY2631025400CE,NIFTY,2.5,2026-03-10,25400.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45564,45564,NIFTY2631025400PE,NIFTY,1356.8,2026-03-10,25400.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45565,45565,NIFTY2631025450CE,NIFTY,2.25,2026-03-10,25450.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45560,45560,NIFTY2631025300PE,NIFTY,1244.5,2026-03-10,25300.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45561,45561,NIFTY2631025350CE,NIFTY,2.8,2026-03-10,25350.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45508,45508,NIFTY2631024500PE,NIFTY,483.5,2026-03-10,24500.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45509,45509,NIFTY2631024550CE,NIFTY,31.5,2026-03-10,24550.0,0.05,65.0,OPTIDX,CE,NSE_FO
